Furniture,"['https://res.cloudinary.com/dukemarket316/image/upload/v1605484109/marketplace316/Furniture/putgapkyupxziubx1q54.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484110/marketplace316/Furniture/cy71qqws90yepybzprbg.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484110/marketplace316/Furniture/bitxt2dsdqaarnnvkptp.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484110/marketplace316/Furniture/ihhjda3ep5nrsrv1owiv.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484111/marketplace316/Furniture/ryvkxx9jfz71538hkxin.jpg']"
Free_Gifts,"['https://res.cloudinary.com/dukemarket316/image/upload/v1605484111/marketplace316/Free_Gifts/jkjbkwryw7ipvzgmxfav.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484111/marketplace316/Free_Gifts/cy6nro54wjnn0poygrxc.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484112/marketplace316/Free_Gifts/ehqdy60kf9cr9y97jlfq.jpg']"
Sandal,"['https://res.cloudinary.com/dukemarket316/image/upload/v1605484113/marketplace316/Sandal/ne1luy7jvvlpj4ijb0aj.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484113/marketplace316/Sandal/hfkpkdq5mtm0dbvbzisv.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484113/marketplace316/Sandal/a7nqinvqlcznm0neckcb.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484114/marketplace316/Sandal/vvw6h35znrf2gjsmxtkd.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484114/marketplace316/Sandal/qi3j8lfj1okm6ahn6sjg.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484114/marketplace316/Sandal/o6rfnmicvj4x2gykmkim.jpg']"
Innerwear,"['https://res.cloudinary.com/dukemarket316/image/upload/v1605484115/marketplace316/Innerwear/exlvtawzhz5klus0njoo.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484115/marketplace316/Innerwear/qs7jlnygjwvn00nn5oyn.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484115/marketplace316/Innerwear/e7nduasncb42wkhztau2.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484116/marketplace316/Innerwear/wvk0zuwqlfebjowtee33.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484116/marketplace316/Innerwear/mazsbzvwhraxhep24wqp.jpg']"
Skin_Care,"['https://res.cloudinary.com/dukemarket316/image/upload/v1605484117/marketplace316/Skin_Care/wugcewukneqexdupt2ce.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484117/marketplace316/Skin_Care/kbcryi939d0phpb3farf.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484118/marketplace316/Skin_Care/uxscnhnjwcgsjary1au7.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484118/marketplace316/Skin_Care/pvnea16fg41b1xpo98yo.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484118/marketplace316/Skin_Care/ruvwklcflxatcu7ydgwb.jpg']"
Makeup,"['https://res.cloudinary.com/dukemarket316/image/upload/v1605484119/marketplace316/Makeup/wayzpyc2a5quoumo06lr.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484119/marketplace316/Makeup/qblvs0ivznniibbnavgm.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484119/marketplace316/Makeup/ktfckterjumktylsogbv.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484120/marketplace316/Makeup/wpquxh8vi4iakkgyi8tm.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484121/marketplace316/Makeup/lvvdv1eu3pcowjvkvtwl.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484121/marketplace316/Makeup/uzouxk0x3na9qrj4ou4r.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484122/marketplace316/Makeup/vady8cgrf4w6ovyojshp.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484122/marketplace316/Makeup/bippmxbnjsgyn6xvxunu.jpg']"
Lips,"['https://res.cloudinary.com/dukemarket316/image/upload/v1605484122/marketplace316/Lips/jljwdzt9lpkaniwomn7j.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484123/marketplace316/Lips/bmcdiz4afw7zizky1iln.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484123/marketplace316/Lips/i7uyujupg8owe9plstgb.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484123/marketplace316/Lips/ip4moeajzpc0zncjhvpn.jpg']"
Socks,"['https://res.cloudinary.com/dukemarket316/image/upload/v1605484124/marketplace316/Socks/vcjqzw9i6ma4yodf3ovi.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484124/marketplace316/Socks/obgzyod0quphebxyccol.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484124/marketplace316/Socks/qfd6u7stujrpn1vlt59v.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484125/marketplace316/Socks/caemnyym036dto2gp3x7.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484125/marketplace316/Socks/cpcfg1lr7hbculjeorqy.jpg']"
Scarves,"['https://res.cloudinary.com/dukemarket316/image/upload/v1605484125/marketplace316/Scarves/hva3ynftpc4sl5trktud.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484126/marketplace316/Scarves/hyygqiud60wiif2rl8zq.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484126/marketplace316/Scarves/pu80dawmrqtxecbih5vx.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484127/marketplace316/Scarves/iva3tcg6yz52drxutbwf.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484127/marketplace316/Scarves/tyjszp3xpbxvux2k7yuq.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484127/marketplace316/Scarves/chi0bvnflpxfse9g0ezh.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484128/marketplace316/Scarves/g3kt6nexdf7ssk6wafo1.jpg']"
Wallets,"['https://res.cloudinary.com/dukemarket316/image/upload/v1605484128/marketplace316/Wallets/ko5hdr7balybc7hkkvaj.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484128/marketplace316/Wallets/f3yrdfhauizsumxlo6dx.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484129/marketplace316/Wallets/xhnc1kaczarjkgwj9ozr.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484129/marketplace316/Wallets/tjosxmltjnsfykmpym8u.jpg', 'https://res.cloudinary.com/dukemarket316/image/upload/v1605484129/marketplace316/Wallets/kit7kfw35nkidyfmdznk.jpg']"
